course,NLP Engineer,Data Scientist,AI Researcher,Business Intelligence Analyst,Data Engineer,Data Analyst,Machine Learning Engineer,Quantitative Analyst,coverage_score
CSE 6040 – Computing for Data Analysis,True,True,True,True,True,True,True,True,8
CSE 6242 – Data and Visual Analytics,False,True,False,False,False,True,False,True,3
CSE 6250 – Big Data Analytics in Healthcare,False,True,False,False,True,True,False,True,4
"CSE 6742 – Modeling, Simulation & Military Gaming",False,True,False,True,False,True,False,True,4
CSE/ISYE/MGT 6748 – Applied Analytics Practicum,False,True,False,False,False,True,False,True,3
CSE 8803 - Applied Natural Language Processing,True,True,True,False,False,True,False,True,5
ISYE 6402 – Time Series Analysis,False,True,False,False,False,True,False,True,3
ISYE 6414 – Regression Analysis,False,True,False,False,False,True,False,True,3
ISYE 6420 – Bayesian Statistics,False,True,False,False,False,True,False,True,3
ISYE 6501 – Introduction to Analytics Modeling,False,True,False,False,False,True,False,True,3
ISYE 6644 – Simulation,False,True,False,False,False,True,False,True,3
ISYE 6650 - Probabilistic Models,False,True,False,False,False,True,False,True,3
ISYE 6669 – Deterministic Optimization,False,True,False,False,False,True,False,True,3
ISYE 6740 - Computational Data Analysis,True,True,True,False,True,True,True,True,7
ISYE 7406 - Data Mining and Statistical Learning,False,True,False,False,False,True,False,True,3
ISYE 8803 – Topics on High-Dimensional Data Analytics,False,True,False,False,False,True,False,True,3
MGT 6203 – Data Analytics in Business,False,True,False,False,False,True,False,True,3
MGT 6059 – Emerging Technologies,False,True,False,False,False,True,False,True,3
MGT 6655 – Business Data Preparation and Visualization,False,True,False,True,False,True,False,True,4
MGT 6727 – Privacy for Professionals,False,True,False,False,False,True,False,True,3
MGT 8803/6754 – Business Fundamentals for Analytics,False,True,False,False,False,True,False,True,3
MGT 8813 – Financial Modeling,False,True,False,True,False,True,False,True,4
MGT 8823 – Data Analysis for Continuous Improvement,False,True,False,False,False,True,False,True,3
MGT 8833 – Analysis of Unstructured Data,True,True,True,False,False,True,False,True,5
MGT 6311 – Digital Marketing,False,True,False,False,False,True,True,True,4
PUBP 6725 - Information Security Policies,False,True,False,False,False,True,False,True,3
